type,id,count,exposure_rate
item,I0923,0,0.0
item,I0924,0,0.0
item,I0925,0,0.0
item,I0926,21,0.01
item,I0927,0,0.0
item,I0928,0,0.0
item,I0929,0,0.0
item,I0930,0,0.0
item,I0931,5,0.0
item,I0932,21,0.01
item,I0933,21,0.01
item,I0934,21,0.01
item,I0935,21,0.01
item,I0936,0,0.0
item,I0937,0,0.0
item,I0938,38,0.01
item,I0939,7,0.0
item,I0940,0,0.0
item,I0941,21,0.01
item,I0942,38,0.01
item,I0943,24,0.01
item,I0944,23,0.01
item,I0945,10,0.0
item,I0946,23,0.01
item,I0947,23,0.01
item,I0948,8,0.0
item,I0949,352,0.1
item,I0950,151,0.04
item,I0951,194,0.05
item,I0952,239,0.07
item,I0953,199,0.06
item,I0954,137,0.04
item,I0955,226,0.06
item,I0956,22,0.01
item,I0957,179,0.05
item,I0958,83,0.02
item,I0959,189,0.05
item,I0960,41,0.01
stimulus,S001,361,0.1
stimulus,S002,22,0.01
stimulus,S003,20,0.01
stimulus,S004,361,0.1
stimulus,S005,0,0.0
stimulus,S006,342,0.1
stimulus,S007,0,0.0
stimulus,S008,360,0.1
stimulus,S009,0,0.0
stimulus,S010,360,0.1
stimulus,S011,1,0.0
stimulus,S012,166,0.05
stimulus,S013,360,0.1
stimulus,S014,360,0.1
stimulus,S015,359,0.1
stimulus,S016,132,0.04
stimulus,S017,359,0.1
stimulus,S018,263,0.07
stimulus,S019,135,0.04
stimulus,S020,53,0.01
stimulus,S021,121,0.03
stimulus,S022,1,0.0
stimulus,S023,358,0.1
stimulus,S024,360,0.1
stimulus,S025,0,0.0
stimulus,S026,361,0.1
stimulus,S027,0,0.0
stimulus,S028,170,0.05
stimulus,S029,361,0.1
stimulus,S030,361,0.1
stimulus,S031,17,0.0
stimulus,S032,113,0.03
stimulus,S033,87,0.02
stimulus,S034,0,0.0
stimulus,S035,301,0.08
stimulus,S036,115,0.03
stimulus,S037,0,0.0
stimulus,S038,0,0.0
stimulus,S039,317,0.09
stimulus,S040,361,0.1
stimulus,S041,0,0.0
stimulus,S042,23,0.01
stimulus,S043,361,0.1
stimulus,S044,0,0.0
stimulus,S045,0,0.0
stimulus,S046,361,0.1
stimulus,S047,289,0.08
stimulus,S048,0,0.0
stimulus,S049,0,0.0
stimulus,S050,0,0.0
stimulus,S051,244,0.07
stimulus,S052,361,0.1
stimulus,S053,0,0.0
stimulus,S054,359,0.1
stimulus,S055,139,0.04
stimulus,S056,357,0.1
stimulus,S057,311,0.09
stimulus,S058,244,0.07
stimulus,S059,361,0.1
stimulus,S060,0,0.0
stimulus,S061,0,0.0
