type,id,count,exposure_rate
item,I0759,1,0.0
item,I0760,44,0.01
item,I0761,382,0.11
item,I0762,0,0.0
item,I0763,53,0.01
item,I0764,13,0.0
item,I0765,382,0.11
item,I0766,332,0.09
item,I0767,2,0.0
item,I0768,354,0.1
item,I0769,0,0.0
item,I0770,50,0.01
item,I0771,0,0.0
item,I0772,3,0.0
item,I0773,50,0.01
item,I0774,50,0.01
item,I0775,50,0.01
item,I0776,50,0.01
item,I0777,50,0.01
item,I0778,0,0.0
item,I0779,0,0.0
item,I0780,50,0.01
item,I0781,360,0.1
item,I0782,359,0.1
item,I0783,143,0.04
item,I0784,150,0.04
item,I0785,184,0.05
item,I0786,221,0.06
item,I0787,8,0.0
item,I0788,40,0.01
item,I0789,99,0.03
item,I0790,77,0.02
item,I0791,143,0.04
item,I0792,51,0.01
item,I0793,40,0.01
item,I0794,32,0.01
item,I0795,19,0.01
item,I0796,5,0.0
item,I0797,3,0.0
item,I0798,45,0.01
item,I0799,27,0.01
item,I0800,50,0.01
item,I0801,2,0.0
item,I0802,23,0.01
item,I0803,0,0.0
item,I0804,29,0.01
item,I0805,2,0.0
item,I0806,21,0.01
item,I0807,0,0.0
item,I0808,0,0.0
item,I0809,21,0.01
item,I0810,20,0.01
item,I0811,0,0.0
item,I0812,19,0.01
item,I0813,1,0.0
item,I0814,0,0.0
item,I0815,2,0.0
item,I0816,19,0.01
item,I0817,0,0.0
item,I0818,0,0.0
item,I0819,0,0.0
item,I0820,0,0.0
item,I0821,0,0.0
item,I0822,0,0.0
item,I0823,0,0.0
item,I0824,0,0.0
item,I0825,0,0.0
item,I0826,0,0.0
item,I0827,0,0.0
item,I0828,0,0.0
item,I0829,0,0.0
item,I0830,0,0.0
item,I0831,0,0.0
item,I0832,0,0.0
item,I0833,0,0.0
item,I0834,0,0.0
item,I0835,0,0.0
item,I0836,0,0.0
item,I0837,0,0.0
item,I0838,0,0.0
item,I0839,0,0.0
item,I0840,0,0.0
item,I0841,360,0.1
item,I0842,358,0.1
item,I0843,352,0.1
item,I0844,23,0.01
item,I0845,353,0.1
item,I0846,348,0.1
item,I0847,259,0.07
item,I0848,19,0.01
item,I0849,52,0.01
item,I0850,18,0.01
item,I0851,310,0.09
item,I0852,307,0.09
item,I0853,350,0.1
item,I0854,109,0.03
item,I0855,341,0.09
item,I0856,39,0.01
item,I0857,0,0.0
item,I0858,267,0.07
item,I0859,305,0.08
item,I0860,0,0.0
item,I0861,14,0.0
item,I0862,248,0.07
item,I0863,0,0.0
item,I0864,77,0.02
item,I0865,0,0.0
item,I0866,317,0.09
item,I0867,89,0.02
item,I0868,11,0.0
item,I0869,58,0.02
item,I0870,137,0.04
item,I0871,308,0.09
item,I0872,265,0.07
item,I0873,80,0.02
item,I0874,18,0.01
item,I0875,175,0.05
item,I0876,202,0.06
item,I0877,359,0.1
item,I0878,154,0.04
item,I0879,358,0.1
item,I0880,358,0.1
item,I0881,192,0.05
item,I0882,38,0.01
item,I0883,294,0.08
item,I0884,14,0.0
item,I0885,207,0.06
item,I0886,309,0.09
item,I0887,159,0.04
item,I0888,322,0.09
item,I0889,150,0.04
item,I0890,150,0.04
item,I0891,150,0.04
item,I0892,0,0.0
item,I0893,150,0.04
item,I0894,150,0.04
item,I0895,1,0.0
item,I0896,0,0.0
item,I0897,150,0.04
item,I0898,0,0.0
item,I0899,1,0.0
item,I0900,149,0.04
item,I0901,122,0.03
item,I0902,359,0.1
item,I0903,215,0.06
item,I0904,242,0.07
item,I0905,165,0.05
item,I0906,115,0.03
item,I0907,103,0.03
item,I0908,138,0.04
item,I0909,28,0.01
item,I0910,173,0.05
item,I0911,28,0.01
item,I0912,107,0.03
item,I0913,6,0.0
item,I0914,3,0.0
item,I0915,31,0.01
item,I0916,27,0.01
item,I0917,3,0.0
item,I0918,57,0.02
item,I0919,29,0.01
item,I0920,98,0.03
item,I0921,89,0.02
item,I0922,102,0.03
item,I0923,62,0.02
item,I0924,68,0.02
item,I0925,12,0.0
item,I0926,15,0.0
item,I0927,11,0.0
item,I0928,5,0.0
item,I0929,15,0.0
item,I0930,7,0.0
item,I0931,7,0.0
item,I0932,100,0.03
item,I0933,100,0.03
item,I0934,100,0.03
item,I0935,100,0.03
item,I0936,103,0.03
item,I0937,0,0.0
item,I0938,77,0.02
item,I0939,5,0.0
item,I0940,0,0.0
item,I0941,76,0.02
item,I0942,67,0.02
