section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
A,C81,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.854,0.354,952,5548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C82,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.889,0.314,722,5778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C83,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.789,0.408,1374,5126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C84,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.158,0.364,5476,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C85,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.3,0.458,4550,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C86,ITM,,NUMBER,2.0,2.0,,6500,1.0,2.0,2.0,2.0,0.0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C87,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.3,0.458,4550,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C88,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.425,0.494,3736,2764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C92,ITM,,NUMBER,1.0,2.0,,6500,1.0,1.0,2.0,1.275,0.446,0,4714,1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I001_I209,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.224,0.417,5042,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I002_I003,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.6,0.49,2600,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I002_I062,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.599,0.49,2607,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I002_I214,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.305,0.46,4517,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I002_I215,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.323,0.468,4402,2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I003_I062,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.599,0.49,2607,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I003_I214,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.305,0.46,4517,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I005_I006,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.212,0.409,5119,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I005_I007,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.39,0.488,3965,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I005_I008,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.197,0.397,5222,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I006_I007,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.35,0.477,4222,2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I007_I008,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.335,0.472,4325,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I009_I294,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.105,0.306,5819,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I010_I149,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.403,0.491,3878,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I010_I179,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.6,0.49,2600,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I010_I184,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.312,0.463,4475,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I010_I287,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.355,0.479,4191,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I010_I348,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.32,0.466,4421,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,ENEMY_I010_I394,ITM,,ENEMY,0.0,1.0,,6500,1.0,0.0,1.0,0.338,0.473,4304,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
